density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architecture_A,100,1,0.0035924317244663,12.69281865475925,1.103558075229403
High,architecture_A,100,2,0.0063569327134188,9.655668965486708,0.9847823680123607
High,architecture_A,100,3,0.0070244312099098,6.916403744357351,0.8398803372375927
High,architecture_A,100,4,0.0075335230988794,11.09538188236885,1.0451422544320543
High,architecture_A,100,5,0.009368253473216,66.15199161718441,1.8205429238875825
High,architecture_A,100,6,0.0071261508568488,71.89475367098761,1.8566972000508897
High,architecture_A,100,7,0.005704480019421,124.8856615421201,2.0965125787216268
High,architecture_A,100,8,0.0023189892020389,146.42867057840613,2.1656261194472535
High,architecture_A,100,9,0.0005472169411041,174.0613026478941,2.240702229391268
High,architecture_A,100,10,0.0004906193280079,204.70871721166495,2.3111363368311206
High,architecture_B,100,1,0.0035901438732171,22.793953360745405,1.3578196553189188
High,architecture_B,100,2,0.0063566006405786,11.762708694937482,1.0705073417918036
High,architecture_B,100,3,0.0069928160437819,20.177591914530897,1.3048693343173907
High,architecture_B,100,4,0.0075790064274,28.96529783424374,1.4618779984695855
High,architecture_B,100,5,0.0093621526433649,45.78608275231747,1.6607334888689114
High,architecture_B,100,6,0.0071206332649263,49.29217108151011,1.692777947145482
High,architecture_B,100,7,0.0057117495425165,136.45875218536167,2.135001395659338
High,architecture_B,100,8,0.0023094617451465,140.82044982515825,2.148665727258703
High,architecture_B,100,9,0.0005587818683894,217.88221377806192,2.3382217792443485
High,architecture_B,100,10,0.0004906193280079,225.8044723108496,2.3537325393634774
High,architecture_C,100,1,0.0035898897113,9.15979257752259,0.9618856392292796
High,architecture_C,100,2,0.0063340067545422,5.397981717588006,0.7322314093119964
High,architecture_C,100,3,0.0070113040091042,15.755950497992432,1.1974446076738836
High,architecture_C,100,4,0.0075425545890857,16.02937345925228,1.2049165474004826
High,architecture_C,100,5,0.009358104426018,26.029663109660635,1.4154685472655093
High,architecture_C,100,6,0.0071155996976311,89.51146771410843,1.9518786782870328
High,architecture_C,100,7,0.0057143347275835,110.4684990603252,2.0432384532730192
High,architecture_C,100,8,0.0023514669003333,172.51050001464696,2.236815533957936
High,architecture_C,100,9,0.0005628826508078,213.37871078174345,2.329151086825879
High,architecture_C,100,10,0.0004906193280079,249.84496998625403,2.397670610415774
High,architecture_D,100,1,0.0035986738309743,16.040429026908004,1.2052159800034405
High,architecture_D,100,2,0.0063462360095252,6.507412272553893,0.8134083220286698
High,architecture_D,100,3,0.0070259156697696,11.610284216153993,1.0648428512628225
High,architecture_D,100,4,0.007550137776184,22.396958393782104,1.350189043223086
High,architecture_D,100,5,0.0093781108804576,57.00714564736842,1.755929296386855
High,architecture_D,100,6,0.0071424336913447,96.66569695708756,1.9852723865417254
High,architecture_D,100,7,0.0057060588371394,125.60371589747774,2.0990024878876277
High,architecture_D,100,8,0.0023051291608509,120.13702725463732,2.0796768812913746
High,architecture_D,100,9,0.0005392597863836,162.05492086523415,2.2096622231014593
High,architecture_D,100,10,0.0004906193280079,231.68195562529948,2.3648922104083328
High,architecture_E,100,1,0.0035916590292272,17.04798036592199,1.2316729365315418
High,architecture_E,100,2,0.006337915682435,10.3273906453018,1.0139906050145457
High,architecture_E,100,3,0.0070158109373059,18.26281634618053,1.2615677518012534
High,architecture_E,100,4,0.0075750056234188,35.461053094733806,1.5497516287956572
High,architecture_E,100,5,0.009372118210034,77.94767554022708,1.8918031687217216
High,architecture_E,100,6,0.0071184043568903,83.5851994323353,1.922129383014098
High,architecture_E,100,7,0.0056858382267644,121.7185878241903,2.085356905042362
High,architecture_E,100,8,0.0023148091307746,107.82430229089692,2.0327166565959276
High,architecture_E,100,9,0.0005484468256504,172.87799635277943,2.2377397204533076
High,architecture_E,100,10,0.0004906193280079,216.0851300553208,2.3346248818433644
High,architecture_F,100,1,0.0035934373551411,27.144265050956687,1.4336780873387234
High,architecture_F,100,2,0.0063484048632169,18.60040760015978,1.2695224612373062
High,architecture_F,100,3,0.007012587768614,26.958289660956297,1.4306923354014447
High,architecture_F,100,4,0.0075657599573498,37.97651664803299,1.5795151270698873
High,architecture_F,100,5,0.0093719155790593,52.74804690713233,1.7222063837202841
High,architecture_F,100,6,0.0071400936024612,89.83817388688199,1.9534609155718488
High,architecture_F,100,7,0.0056822183702089,99.80800535185637,1.999165376364578
High,architecture_F,100,8,0.0023354423105688,117.90503758188082,2.071532361051618
High,architecture_F,100,9,0.0005535994669613,128.93402695765238,2.1103675470646523
High,architecture_F,100,10,0.0004906193280079,152.70042924182576,2.1838402578625398
High,control,100,1,0.0036027421124984,9.602486251076128,0.982383694011018
High,control,100,2,0.006339534478441,8.396545807196036,0.9241006616098594
High,control,100,3,0.0070302509368048,13.035556302821632,1.1151295697652153
High,control,100,4,0.0075576158283353,28.34511200242377,1.4524781773946729
High,control,100,5,0.0093755259698881,70.11000158888707,1.845779976954207
High,control,100,6,0.0071259654925576,82.98767938031051,1.919013620396291
High,control,100,7,0.0056837737784991,104.93113057716243,2.0209043521799654
High,control,100,8,0.0022761521593508,130.6046704567823,2.115958707699705
High,control,100,9,0.0005467382983138,166.2970578534951,2.220884565700006
High,control,100,10,0.0004906193280079,205.37911270473137,2.312556273251819
High,architecture_A,10,1,0.0035923205592365,10.010093011206315,1.0004381128505464
High,architecture_A,10,2,0.0063553126818263,6.171863877876654,0.7904163390147414
High,architecture_A,10,3,0.0070079540012146,5.522707930591504,0.7421520760887014
High,architecture_A,10,4,0.0075685122753251,14.707694510873884,1.1675446006896455
High,architecture_A,10,5,0.0093665195932313,45.26779246621489,1.6557893161626343
High,architecture_A,10,6,0.0071386128589928,85.05443024805886,1.9296969397260813
High,architecture_A,10,7,0.005691860673986,120.3068706591152,2.0802904303667358
High,architecture_A,10,8,0.0023468467007891,131.48408436057696,2.1188731863413626
High,architecture_A,10,9,0.0005460976148657,165.99712163289198,2.220100557499153
High,architecture_A,10,10,0.0004906193280079,193.2357481348496,2.2860874729156624
