density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architecture_A,100,4.199064446653171,0.6231525401799887
High,architecture_B,100,6.475109632591101,0.8112471260237565
High,architecture_C,100,1.9914883295191212,0.2991777657087926
High,architecture_D,100,3.094832789124712,0.4906371894717498
High,architecture_E,100,4.982772065217676,0.6974710210096463
High,architecture_F,100,3.1084908620380944,0.4925495950201583
High,architecture_G,100,5.173897473793338,0.7138178184649909
High,architecture_H,100,12.857611256608305,1.109160290949341
High,architecture_I,100,19.662193899197923,1.2936319745926133
High,control,100,4.330009030734145,0.6364888021256325
High,architecture_A,10,2.6950562705301766,0.4305678373244738
High,architecture_B,10,2.580951912268276,0.41177991293941746
High,architecture_C,10,1.649152916725867,0.2172609272098216
High,architecture_D,10,4.2543506740569,0.6288332847042348
High,architecture_E,10,2.6288144882257325,0.41975993963144187
High,architecture_F,10,10.853699889386698,1.0355778089345173
High,architecture_G,10,6.114117202500824,0.786333759530978
High,architecture_H,10,12.521206328040854,1.0976461720352435
High,architecture_I,10,15.86761170827394,1.2005115644377782
High,control,10,3.324826667559611,0.5217690092527867
High,architecture_A,11,2.0539492586692645,0.3125897104627488
High,architecture_B,11,4.743450382480247,0.6760943621259904
High,architecture_C,11,3.856560484199637,0.5862001469906869
High,architecture_D,11,4.00326932367937,0.6024148086544973
High,architecture_E,11,5.163573492104196,0.7129503626270383
High,architecture_F,11,5.936943306413249,0.7735629017423894
High,architecture_G,11,8.516244649915887,0.9302481291146065
High,architecture_H,11,9.625094257901726,0.9834049912180608
High,architecture_I,11,17.328902646313495,1.2387710618633696
High,control,11,3.417896956977592,0.5337589654383745
High,architecture_A,12,4.620279338251102,0.6646682334335411
High,architecture_B,12,5.260392090243805,0.721018116070662
High,architecture_C,12,5.489503202233737,0.7395330427577143
High,architecture_D,12,4.433989677375631,0.646794677713061
High,architecture_E,12,3.029957703320449,0.48143656601295065
High,architecture_F,12,5.912441254876183,0.77176683868289
High,architecture_G,12,7.925830001487017,0.8990447530589978
High,architecture_H,12,13.034567613045663,1.1150966291842184
High,architecture_I,12,15.21878738501412,1.1823800497422288
High,control,12,4.473067732496294,0.6506054744361655
High,architecture_A,13,4.387381938484817,0.6422054430569164
High,architecture_B,13,3.5545703096859995,0.5507871090289231
High,architecture_C,13,2.2849695752526613,0.35888042174160173
High,architecture_D,13,3.3131518007029133,0.5202413346737833
High,architecture_E,13,4.453765620678136,0.648727358561412
High,architecture_F,13,4.882586786428594,0.6886499714749087
High,architecture_G,13,10.973966816442225,1.0403636426235177
High,architecture_H,13,17.29372023432557,1.2378884289849603
High,architecture_I,13,14.51673864835101,1.1618690580915836
High,control,13,6.246491976501585,0.7956361864688771
High,architecture_A,14,1.9747385371124933,0.29550960152891664
High,architecture_B,14,3.0485175427185127,0.48408869851618935
High,architecture_C,14,3.384240472144528,0.5294612148914882
High,architecture_D,14,3.286321156126899,0.516710002653014
High,architecture_E,14,4.972028202646456,0.6965335834086646
High,architecture_F,14,3.844623059302023,0.5848537664287625
High,architecture_G,14,8.433408887812607,0.9260031572956551
High,architecture_H,14,8.757349830347783,0.942372698840375
