density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
Low,architectureA,73,1109.0731579036728,0.0459232398177528,7.011279952626074
Low,architectureA,74,1182.8257053562036,0.0458762317249287,7.075661520373389
Low,architectureA,75,1209.797944659846,0.0458657207826571,7.098208636762333
Low,architectureA,76,1108.315544667761,0.0458461993460883,7.010596614369219
Low,architectureA,77,1126.8397131988263,0.0457861484734567,7.027172279611564
Low,architectureA,78,1186.3168239639508,0.0458729498435958,7.078608680446249
Low,architectureA,79,1175.4391566746044,0.0458822633432655,7.069397107112357
Low,architectureA,80,1217.4352817024162,0.0457863820916372,7.104501696831282
Low,architectureA,81,1181.4242454633468,0.0458746016977683,7.074475977316473
Low,architectureA,82,1166.8447990403636,0.0458571411817602,7.062058632045984
Low,architectureA,83,1143.7802650172562,0.0458222303469615,7.0420940774569125
Low,architectureA,84,1154.400317726412,0.0458507630426408,7.051336282690403
Low,architectureA,85,1183.3077544474402,0.0458631575834487,7.076068977607814
Low,architectureA,86,1190.191572419788,0.0458296945574778,7.081869558375557
Low,architectureA,87,1107.4837078648825,0.0458390136686769,7.009845791079604
Low,architectureA,88,1215.456654229642,0.0458598005645185,7.102875132264405
Low,architectureA,89,1218.1405695468125,0.0458378990886178,7.1050808517475605
Low,architectureA,91,1190.1096504954207,0.0458777798220275,7.081800725134107
Low,architectureA,92,1164.5453703334629,0.0458260625627661,7.060086049779221
Low,architectureA,93,1137.4353413131169,0.0458181450224216,7.036531306407837
Low,architectureA,94,1135.8329944016482,0.0458905536956334,7.035121576503397
Low,architectureA,95,1187.819385196983,0.0457816182744235,7.079874455701981
Low,architectureA,97,1169.130242876014,0.0458231109443794,7.064015369189021
Low,architectureA,98,1141.6425768167146,0.0458580240618945,7.040223361207097
Low,architectureA,99,1222.8536527658785,0.0458340306911775,7.108942466029807
Low,architectureA,100,1108.9247759497064,0.0458275593724755,7.011146154526514
Low,architectureB,1,1251.6165975579452,0.0458326868749499,7.132191272778984
Low,architectureB,2,1208.1559269170857,0.0458418514760987,7.096850448738585
Low,architectureB,3,1286.6564013254474,0.0458968239172356,7.1598021955144695
Low,architectureB,4,1320.7751681781497,0.0458747681692511,7.185974091837233
Low,architectureB,5,1216.0617537122034,0.0457875673962394,7.1033728455394325
Low,architectureB,6,1197.943176679952,0.0458091671621582,7.088361345730731
Low,architectureB,7,1244.8155440354708,0.0459143277037479,7.126742640521187
Low,architectureB,8,1263.011615950444,0.0458759368142538,7.1412543194186044
Low,architectureB,9,1255.4754067652575,0.0458417828379869,7.135269590006946
Low,architectureB,10,1240.0705424574555,0.0458607832709985,7.122923546059553
Low,architectureB,11,1217.764532569314,0.0458810998406734,7.10477210656684
Low,architectureB,12,1357.121137641551,0.0459070124766676,7.213120924562189
Low,architectureB,13,1190.6343640373002,0.0458410521173775,7.082241523092369
Low,architectureB,14,1208.601576794614,0.045843690659938,7.097219248572159
Low,architectureB,15,1267.691883801048,0.0458104006604044,7.1449531116216285
Low,architectureB,16,1211.3279011545146,0.0458366686633775,7.099472475815525
Low,architectureB,17,1243.921802753006,0.0458850948920954,7.126024411800075
Low,architectureB,18,1242.7851333983251,0.0458148456481889,7.1251102152638275
Low,architectureB,19,1273.3543307734783,0.0458801748675632,7.14940990293279
Low,architectureB,20,1327.8622820890612,0.04585803545902,7.191325621412637
Low,architectureB,21,1246.3684872532278,0.0458619166272047,7.12798939178437
Low,architectureB,22,1154.4331815987,0.0458688860407242,7.05136475063519
Low,architectureB,23,1246.9931643833916,0.0458058665516225,7.128490464015767
Low,architectureB,24,1173.3939622147052,0.0458489496422095,7.067655650931142
Low,architectureB,25,1348.98223303665,0.0458608830261691,7.207105685651529
Low,architectureB,26,1174.7757433803745,0.0458959740033806,7.068832551665248
Low,architectureB,27,1265.622517188801,0.0458920596649658,7.1433193885656125
Low,architectureB,28,1176.5090763751084,0.0458473698896685,7.070306922863633
Low,architectureB,29,1180.100544026716,0.0458871351587876,7.073354920632119
Low,architectureB,30,1325.165616369191,0.0458681746563426,7.18929272409547
Low,architectureB,31,1304.3809545039037,0.0459177759506356,7.1734838428456005
Low,architectureB,32,1216.2525922679542,0.0459010644547321,7.103529764859057
Low,architectureB,33,1287.9932034967392,0.045859171492869,7.160840629862131
Low,architectureB,34,1282.5142676475866,0.0458630508952844,7.156577701854456
Low,architectureB,35,1232.818678424721,0.0458342813840424,7.1170584351117
Low,architectureB,36,1232.0914356130595,0.0458729460531622,7.116468358557896
Low,architectureB,37,1269.906497691918,0.0458627636363159,7.146698552877636
Low,architectureB,38,1288.7375669862145,0.0458819713361742,7.16141838794125
Low,architectureB,39,1304.4705998347492,0.0458712467881442,7.173552566825492
Low,architectureB,40,1239.7811484267982,0.0458884325905042,7.122690149818129
Low,architectureB,41,1177.3029911649949,0.0458727467023521,7.070981500779976
Low,architectureB,42,1201.145245529468,0.0458976117337667,7.091030751927931
Low,architectureB,43,1210.777536724714,0.0458211154359506,7.099018024551212
Low,architectureB,44,1310.799581594904,0.0458255849159792,7.178392597626336
Low,architectureB,45,1305.7614467954102,0.0458428414361187,7.174541633730527
Low,architectureB,46,1304.2534444248931,0.0458251284402443,7.1733860828228355
Low,architectureB,47,1255.9194703787944,0.0458864301079361,7.135623229032179
Low,architectureB,49,1238.828042587185,0.0458843332315753,7.121921084739176
Low,architectureB,50,1260.2284033433536,0.0458612539588983,7.139048256012376
Low,architectureB,51,1213.016249338462,0.0458944222712303,7.100865304846462
Low,architectureB,52,1267.9272313225465,0.0458556260901781,7.145138744803498
Low,architectureB,53,1285.3599978692534,0.0458387188877604,7.158794112077375
Low,architectureB,54,1247.6190539474976,0.0458666330933504,7.1289922570981865
Low,architectureB,55,1184.2590859459926,0.0459397827250997,7.076872614095301
Low,architectureB,56,1165.1825177414405,0.0458972469362184,7.060633021317935
Low,architectureB,57,1229.40124436509,0.0458470158001242,7.114282536645074
Low,architectureB,58,1294.767578023039,0.0458622369409045,7.16608648159573
Low,architectureB,59,1233.3441571866458,0.0458629339342896,7.117484586022977
Low,architectureB,60,1323.353217232837,0.0458413852693005,7.187924110516996
Low,architectureB,61,1252.480026787424,0.0458582185301673,7.132880886155163
Low,architectureB,62,1258.994499429464,0.0458428114791632,7.1380686650351715
Low,architectureB,63,1247.7322244649745,0.0459128646372382,7.129082962177295
Low,architectureB,64,1283.3652682568206,0.0459065154117807,7.157241022660074
Low,architectureB,65,1213.0727639388538,0.0458868611820404,7.100911893904071
Low,architectureB,66,1300.9244520703812,0.0459272502570847,7.1708304077029705
Low,architectureB,67,1226.0285404614758,0.0458591857217016,7.111535395557559
Low,architectureB,68,1186.2611531818584,0.0458458514312571,7.0785617519299775
Low,architectureB,69,1303.6611850739898,0.045843449626242,7.172931881328365
Low,architectureB,70,1168.062480177144,0.0457766891224454,7.063101655259806
Low,architectureB,71,1131.8660077814084,0.0458798417939119,7.031622884072853
Low,architectureB,72,1215.4797509261423,0.0458735244715619,7.10289413456858
Low,architectureB,73,1233.2804451063153,0.0459228682315174,7.117432926698501
Low,architectureB,75,1298.753801535235,0.0458104335500043,7.169160469481519
Low,architectureB,76,1262.8967923316882,0.045879219690078,7.141163402726251
Low,architectureB,77,1269.3281706228072,0.0457839821360759,7.146243039973431
Low,architectureB,78,1179.712374582393,0.0459017662488641,7.073025937393861
Low,architectureB,79,1305.9246371000218,0.0458712666439087,7.17466660304122
Low,architectureB,80,1255.3373308320683,0.0458582173985993,7.135159604956081
Low,architectureB,81,1235.946291095643,0.0458485977526735,7.119592183267378
Low,architectureB,82,1173.5943651804052,0.0459065643937947,7.067826425505389
Low,architectureB,83,1243.933399149755,0.0458196135347742,7.126033734204964
Low,architectureB,84,1241.2104980403149,0.0458634721739839,7.123842390514862
Low,architectureB,85,1168.659541827227,0.0459333287056114,7.063612680240488
Low,architectureB,86,1249.779260553962,0.0458838312574992,7.1307222231453915
Low,architectureB,87,1274.4053217876274,0.045849156384517,7.150234934503337
Low,architectureB,88,1247.647334706628,0.0458606872779836,7.1290149246251975
Low,architectureB,89,1189.7070622288932,0.0458613839929869,7.081462389607497
Low,architectureB,90,1193.2744948251595,0.0458641785080001,7.084456483498618
Low,architectureB,91,1207.2864467878917,0.0458935513141311,7.096130514223719
Low,architectureB,92,1233.7856375704132,0.0458887605296758,7.117842475899235
Low,architectureB,93,1286.745087568516,0.0458397525536657,7.159871120820907
Low,architectureB,94,1297.5334299269732,0.0458715744855625,7.168220379584415
Low,architectureB,95,1216.7550348460748,0.0458911816312104,7.103942786651232
Low,architectureB,96,1229.8121655834773,0.0459079231631542,7.114616725797223
Low,architectureB,97,1228.3450851895418,0.0458438887507999,7.113423083228048
Low,architectureB,98,1194.2892590063968,0.0459296250741593,7.085306525086587
Low,architectureB,99,1267.880944546639,0.045858277116617,7.145102238275636
Low,architectureB,100,1161.8983568421556,0.0458528027652291,7.057810460988794
Low,architectureC,1,1104.1487924071384,0.0459046726303501,7.006829993486711
Low,architectureC,2,1064.169812105242,0.0458899771811515,6.969950255010481
Low,architectureC,3,1056.072753337918,0.045904064884234,6.962312357099402
Low,architectureC,4,1088.5666377927137,0.045857314747355,6.992617098637872
Low,architectureC,5,1060.2449152974664,0.0458710380194867,6.966255212585093
Low,architectureC,6,1105.4024926698448,0.0458600536223016,7.007964794390147
Low,architectureC,7,1107.7338712402009,0.0458000141771563,7.010071650046002
Low,architectureC,8,1078.293761118991,0.0458522595598186,6.983135220022259
Low,architectureC,9,1119.7806700540411,0.045865482977147,7.02088811480299
Low,architectureC,10,1101.3786730040936,0.0458547073142612,7.004318013107306
Low,architectureC,11,1052.0325809726512,0.0458898280968347,6.958479363324401
Low,architectureC,12,1065.96729850194,0.0458228778073118,6.971637927427798
Low,architectureC,13,1092.2265800586183,0.045922294063859,6.995973625677762
Low,architectureC,14,1137.2804970773436,0.0458106256588681,7.036395162601741
Low,architectureC,15,1071.8194208749444,0.0458708325177747,6.977112876764981
Low,architectureC,16,1110.842935710259,0.045823165436665,7.0128744076477005
Low,architectureC,17,1027.4560909091654,0.0458217740583589,6.934841211548916
Low,architectureC,18,1087.8552396556804,0.0458839144164915,6.991963366776655
Low,architectureC,19,1114.5199369593963,0.0458430371015668,7.016179041368836
Low,architectureC,20,1062.338295632964,0.0458918673867408,6.968227696870696
Low,architectureC,21,1110.8339216299507,0.0459480362165139,7.012866292983969
Low,architectureC,22,1124.058267421014,0.0459050027135769,7.024700868452563
Low,architectureC,23,1125.3973439631704,0.0458105332305526,7.025891446913908
Low,architectureC,24,1084.631683477566,0.0458518825985816,6.988995746111556
Low,architectureC,25,1057.142806125937,0.0458261595814025,6.963325081877698
Low,architectureC,26,1078.79207925871,0.0458340756228588,6.983597249060932
Low,architectureC,27,1076.7416126554729,0.0458280753425732,6.981694734403508
Low,architectureC,28,1101.7116017014607,0.0458203519839614,7.0046202510171405
Low,architectureC,29,1076.8355316155323,0.0458589928231167,6.981781955760188
Low,architectureC,30,1153.1788828361596,0.0458700243269648,7.050277653799983
Low,architectureC,31,1082.5701345054906,0.0458568638877677,6.987093247159419
Low,architectureC,32,1088.9708714962007,0.04581718426708,6.992988374637855
Low,architectureC,33,1116.3657558381533,0.045873806312745,7.017833827453052
Low,architectureC,34,1082.9226424254623,0.0458667213096534,6.987418815479795
Low,architectureC,35,1150.7484083550746,0.0458739043990136,7.048167799559375
Low,architectureC,36,1120.0257891895765,0.0458470741284879,7.0211069900861665
Low,architectureC,37,1087.8935397977154,0.045882197053171,6.991998573177689
Low,architectureC,38,1099.042489351094,0.0458678283894334,7.002194615486203
Low,architectureC,39,1068.133557669051,0.0458816817326429,6.97366806569878
Low,architectureC,40,1117.8208416259995,0.0458328669338273,7.0191363918809575
Low,architectureC,41,1124.5767435420148,0.045847345616716,7.025162015884371
Low,architectureC,42,1124.45631795459,0.0458380020974003,7.025054924895269
Low,architectureC,43,1085.1742325587263,0.0458094337058428,6.989495836085924
Low,architectureC,44,1058.388849079143,0.0458412588205079,6.964503077105736
Low,architectureC,45,1156.8958599934765,0.0458459003619622,7.053495714493974
Low,architectureC,46,1111.2942540420315,0.0459120841313336,7.013280609695045
Low,architectureC,47,1074.5505921617196,0.0458797448014877,6.979657799349859
Low,architectureC,48,1069.9673776814757,0.0458385232618577,6.975383438843025
Low,architectureC,49,1141.1723629386854,0.0458445882121966,7.039811401502006
Low,architectureC,50,1040.1619442528963,0.0458361207884497,6.947131695640783
Low,architectureC,51,1107.717201647518,0.0458238873786518,7.01005660155959
Low,architectureC,52,1143.6826980386895,0.0458201373356074,7.0420087716135376
Low,architectureC,53,1192.752603367913,0.0458296365817171,7.084019027054
Low,architectureC,54,1097.220411907922,0.0458886712376334,7.000535362525038
Low,architectureC,55,1089.255944082095,0.04584364776858,6.993250122023833
Low,architectureC,56,1116.6627037308858,0.0458551954469854,7.018099787246991
Low,architectureC,58,1125.4152391021378,0.0458987853022944,7.0259073479614695
Low,architectureC,60,1056.7808720901833,0.0458249504515914,6.962982653205348
Low,architectureC,61,1129.0842482833289,0.0458798883861586,7.029162183405726
Low,architectureC,62,1120.1518978058127,0.0458929710001264,7.021219578134072
Low,architectureC,63,1075.5368793907924,0.0458063836288885,6.980575238580868
Low,architectureC,64,1088.0524939403535,0.0459207655778751,6.992144674358928
Low,architectureC,65,1089.07160089849,0.0458575566018379,6.993080869989656
Low,architectureC,66,1127.954637903834,0.0458616932954539,7.028161216625114
Low,architectureC,67,1046.036771093245,0.045906754211215,6.952763798015819
Low,architectureC,68,1055.809067190198,0.0458393861340849,6.962062640333505
Low,architectureC,69,1164.2210794714497,0.0458793493524008,7.059807541074205
Low,architectureC,70,1136.3239701407424,0.0458416965903521,7.035553743606637
Low,architectureC,71,1078.0492297181486,0.0458694617112832,6.982908418068274
Low,architectureC,72,1046.9503367651796,0.0458506133585967,6.953636775901371
Low,architectureC,73,1099.5224841208012,0.0458649752998619,7.002631259190733
Low,architectureC,74,1117.5515700866274,0.0458486274923964,7.018895473151476
Low,architectureC,75,1123.0501629190526,0.0458773808496893,7.023803622413181
Low,architectureC,76,1155.942783306233,0.0458665500918492,7.052671552597552
Low,architectureC,77,1065.568063335175,0.0457893577061842,6.97126332874313
Low,architectureC,78,1074.7344163555313,0.0458916694300698,6.979828855485765
Low,architectureC,79,1118.0017141756332,0.045837386560198,7.019298186965777
Low,architectureC,80,1050.4280959717007,0.0458459712026071,6.956953070509487
Low,architectureC,81,1045.9129164545946,0.0458851507736485,6.9526453872915726
Low,architectureC,82,1128.1555898329125,0.045864926970891,7.028339356794986
Low,architectureC,83,1125.7850477854186,0.0458940085920413,7.026235891528882
Low,architectureC,84,1076.886626354421,0.0459438300064452,6.981829403606429
Low,architectureC,85,1089.5301355161305,0.0458563677111011,6.993501813952701
Low,architectureC,86,1076.3365784049,0.0459160043904507,6.981318497017395
Low,architectureC,87,1094.603558254013,0.0458432674810603,6.998147529439061
Low,architectureC,88,1143.3130428683205,0.0459254332426668,7.041685504571999
Low,architectureC,89,1039.4817755145884,0.0458561368412465,6.946477575171883
Low,architectureC,90,1131.4836978061323,0.0458143466430003,7.031285057374691
Low,architectureC,91,1071.4964346462536,0.0458662918781588,6.976811487466429
Low,architectureC,92,1089.7759785982,0.0459244522414227,6.993727429878358
Low,architectureC,93,1072.5084488454129,0.045796495985267,6.977755528482484
Low,architectureC,94,1108.2295593046556,0.0458419787577818,7.010519029335651
Low,architectureC,95,1084.225614470494,0.0459065646142185,6.988621291773596
Low,architectureC,96,1110.5534243337845,0.0458370898217343,7.012613750537316
Low,architectureC,97,1157.5374840209222,0.0458949984614159,7.05405016903944
Low,architectureC,98,1124.0187573662572,0.0458113138267488,7.024665718362664
Low,architectureC,99,1106.531080076201,0.0458988189753841,7.008985247733048
Low,architectureC,100,1168.3313799186851,0.0458296537817202,7.063331838832294
Low,architectureD,1,1269.293598090183,0.0459030953913047,7.146215802727574
Low,architectureD,2,1267.134300864805,0.0458491372036124,7.144513173807661
Low,architectureD,3,1280.414539992243,0.0459133463080778,7.154939163851477
Low,architectureD,4,1222.6443279449315,0.0458850796753989,7.108771274049189
Low,architectureD,5,1296.176969530199,0.0458390604501029,7.167174418153466
Low,architectureD,6,1244.66994505739,0.0458876105965698,7.126625669380858
Low,architectureD,7,1208.82837818097,0.0458355454037128,7.097406887007394
Low,architectureD,8,1286.021027859882,0.0459009703667558,7.159308256032375
Low,architectureD,9,1288.9550018361433,0.0458771763764031,7.16158709297076
Low,architectureD,10,1259.4133201231648,0.0458580853429253,7.138401272561491
Low,architectureD,11,1245.0144029809992,0.0458372669804484,7.126902377491328
Low,architectureD,13,1235.939032779018,0.04589305382177,7.119586310570489
Low,architectureD,14,1209.1871685901287,0.0458837633674157,7.097703651362174
Low,architectureD,15,1291.5672527294817,0.0458663015836603,7.163611684528544
Low,architectureD,16,1243.5632874556695,0.0459096071953725,7.125736156564914
Low,architectureD,17,1229.154686761605,0.0458305448821698,7.11408196556903
Low,architectureD,18,1201.5327304610023,0.0458439087557536,7.091353296137989
Low,architectureD,19,1246.6631774358525,0.0458074960010126,7.128225802888305
Low,architectureD,20,1229.4674767306603,0.0458970603902263,7.114336408870963
Low,architectureD,21,1203.33377649589,0.0458242449131422,7.092851130937882
Low,architectureD,22,1237.8598981138784,0.0458996615543873,7.121139278919631
Low,architectureD,23,1218.0890210872867,0.0459307656472389,7.105038533519647
Low,architectureD,25,1232.2449078338643,0.0458234493384083,7.116592913163773
Low,architectureD,26,1256.157675921636,0.045882019068262,7.135812877303058
Low,architectureD,27,1266.5741424270204,0.0458812107036542,7.144071008926066
Low,architectureD,28,1325.9616698010675,0.0458668353947382,7.189893263692308
Low,architectureD,29,1259.5312123362366,0.0458695135642099,7.138494877014974
Low,architectureD,30,1264.9082117074793,0.0458612643512726,7.142754838613986
Low,architectureD,31,1205.8053239555825,0.0458254585764929,7.094902941334646
Low,architectureD,32,1254.1055571954196,0.0458549090296671,7.134177894042114
Low,architectureD,33,1212.1949723007629,0.0458590812748673,7.100188021926305
Low,architectureD,34,1222.1512735777976,0.0457788145399861,7.108367923868493
Low,architectureD,35,1297.9900746922683,0.045910971567324,7.1685722506186735
Low,architectureD,36,1243.7099255429007,0.0457918721005375,7.125854067284681
Low,architectureD,37,1214.7519287117311,0.0458084259919831,7.102295161028511
Low,architectureD,38,1229.5717996577323,0.0458510263966976,7.114421257395454
Low,architectureD,39,1296.4500153922145,0.0458848131158149,7.167385050739343
Low,architectureD,40,1255.7795010446578,0.045840434713902,7.1355117751231925
Low,architectureD,41,1273.5812244570425,0.0458732413600601,7.149588072878
Low,architectureD,42,1255.5969835956494,0.0458503367524637,7.135366422604009
Low,architectureD,43,1330.8192574557297,0.0458966061056268,7.193550014625535
Low,architectureD,44,1310.5467374185869,0.0458732661995324,7.1781996859341515
Low,architectureD,45,1204.0131665575236,0.0458565559477108,7.093415561487978
Low,architectureD,46,1212.711275830688,0.0458220001261249,7.100613855739984
Low,architectureD,47,1231.334023217565,0.0458467010192296,7.115853432365064
Low,architectureD,48,1238.6761299345535,0.0458332295200156,7.121798451119014
Low,architectureD,49,1242.3259603027216,0.0459178372693767,7.1247406759687895
Low,architectureD,50,1181.709808626911,0.0458546083329835,7.074717659047951
Low,architectureD,51,1231.8980444754156,0.0458533143873336,7.116311384561373
Low,architectureD,52,1232.92180330924,0.0458855085135321,7.117142081290479
Low,architectureD,53,1265.9629178939065,0.0458789711149562,7.1435883115120316
Low,architectureD,54,1256.0993012170595,0.0459088133067352,7.1357664053815
Low,architectureD,55,1272.699179042515,0.0458437079182503,7.148895261945947
Low,architectureD,56,1231.025611564189,0.0458617101880316,7.115602931462895
Low,architectureD,57,1259.962594761275,0.0458982253511326,7.138837312807464
Low,architectureD,58,1291.4508926870308,0.0458697923933324,7.163521588341851
Low,architectureD,59,1292.3025992027833,0.0458391126084402,7.164180866828963
Low,architectureD,60,1250.1555458428218,0.0458564644872913,7.1310232592290035
Low,architectureD,61,1278.862714062425,0.0458918965191243,7.153726457320722
Low,architectureD,62,1244.4213094351337,0.0458945515286726,7.126425889141677
Low,architectureD,63,1220.457101349697,0.0458709653816695,7.1069807407922685
Low,architectureD,64,1232.4589669291104,0.0458689723127547,7.11676661281019
Low,architectureD,65,1246.3899780364416,0.0458434809623025,7.128006634356013
Low,architectureD,66,1235.496822447971,0.045924063158813,7.1192284535499795
Low,architectureD,67,1309.7396659062326,0.0458311946800192,7.177583668130256
Low,architectureD,68,1260.678999033336,0.0458913879500133,7.139405742919158
Low,architectureD,69,1272.2750161378126,0.0458411247492159,7.148561928186074
Low,architectureD,70,1258.921836214796,0.0458605480360033,7.138010948093858
Low,architectureD,71,1279.446615233042,0.0458693305596631,7.154182931582119
Low,architectureD,73,1206.549079194304,0.0458935107579007,7.095519563221808
Low,architectureD,74,1216.5139284744414,0.0458269575019994,7.103744611787658
Low,architectureD,75,1230.7847694722,0.0458914538485636,7.115407268876847
Low,architectureD,76,1248.8707596186748,0.0458813035026525,7.129995029686533
Low,architectureD,77,1188.6022852671056,0.0458488220275191,7.080533345585184
Low,architectureD,78,1190.321499936981,0.0458157500337795,7.0819787176310385
Low,architectureD,79,1289.7051461806386,0.045859646744496,7.162168902377658
Low,architectureD,80,1261.4069558853826,0.0458208493375142,7.139983008631171
Low,architectureD,81,1274.430117541417,0.0458688669268465,7.150254391038983
Low,architectureD,82,1241.4792538677402,0.0458734797321328,7.124058894271136
Low,architectureD,83,1193.2170701831026,0.0458641609359245,7.084408358759433
Low,architectureD,84,1247.1449653824018,0.0458218136470701,7.12861219023244
Low,architectureD,85,1223.883590259025,0.0458634537052962,7.1097843525518805
Low,architectureD,86,1252.4169213263126,0.0458593636043984,7.132830500480677
Low,architectureD,87,1241.569478409081,0.0458044998194139,7.124131566659888
Low,architectureD,88,1294.9805995922936,0.0458679612119284,7.16625099301161
Low,architectureD,89,1212.2550284507488,0.0458903406806161,7.100237564007998
Low,architectureD,90,1165.064076522004,0.0458858707380817,7.060531365793726
Low,architectureD,91,1200.896693812747,0.0458767439355572,7.090823801571622
Low,architectureD,92,1236.389112401612,0.0458922884739244,7.119950404332431
Low,architectureD,93,1304.0411336285642,0.0458679164772405,7.1732232861827745
Low,architectureD,94,1288.867635498038,0.0458395073838027,7.161519309922482
Low,architectureD,95,1233.0635454719963,0.045888281372348,7.117257039121013
Low,architectureD,96,1298.1219700697516,0.0458888319884137,7.168673860545613
Low,architectureD,97,1235.068982398201,0.0458490508362396,7.118882103695054
Low,architectureD,98,1245.885245122604,0.0458753195909382,7.127601596488567
Low,architectureD,99,1295.2019704810373,0.045826956997686,7.166421923734286
