density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
High,architectureA,51,846.9061842764334,0.0501511045364323,2.927835304182349
High,architectureA,52,847.8845205179651,0.0501118459527898,2.9283367065999295
High,architectureA,53,881.7754770082335,0.0500916732746152,2.945358016526935
High,architectureA,54,852.4170819021886,0.0500333497188735,2.930652144117632
High,architectureA,55,833.5268239717113,0.0500478430420556,2.9209195805472836
High,architectureA,56,826.3479021882886,0.0501887949933419,2.9171629289068184
High,architectureA,57,834.3170431957208,0.050085632130976,2.9213311153209123
High,architectureA,58,844.9772903100898,0.0500302640883762,2.9268450369667955
High,architectureA,59,873.3327134609854,0.0500608590772458,2.941179728347523
High,architectureA,60,811.8335574827468,0.0500650538086955,2.9094669990980093
High,architectureA,61,812.332590625944,0.0501152697573033,2.909733877394235
High,architectureA,62,929.888956940742,0.0500342931340047,2.968431090202105
High,architectureA,63,792.4912603071441,0.0500986632142607,2.898994481462269
High,architectureA,64,794.1823205166551,0.0500860823755305,2.8999202149017234
High,architectureA,65,849.8000785966072,0.0500619879604059,2.9293167669206777
High,architectureA,66,882.2809243662603,0.0501018180968957,2.9456068895270495
High,architectureA,67,818.5292889190991,0.0501197843868947,2.913034224112489
High,architectureA,68,886.6788104628105,0.0500720428945162,2.9477663299725383
High,architectureA,69,936.9979076402956,0.0501122537241537,2.971738621089178
High,architectureA,70,883.271458106828,0.050106778639466,2.9460941969409475
High,architectureA,71,743.6105966536322,0.0501216396966209,2.8713455699586676
High,architectureA,72,881.4340160687553,0.0500828230314182,2.945189806675256
High,architectureA,73,832.60349426092,0.050045150623318,2.920438229196749
High,architectureA,74,887.6835057453147,0.0501126361586505,2.9482581502279976
High,architectureA,75,846.9050951422917,0.0500426895452175,2.9278347456727283
High,architectureA,76,827.6654160429265,0.0500730552155753,2.9178548086052607
High,architectureA,77,833.5944691442248,0.0500492613523354,2.9209548244437986
High,architectureA,78,847.2131980447987,0.0501654847649434,2.9279927126723533
High,architectureA,79,831.1368681814199,0.0501103586993348,2.9196725474921896
High,architectureA,80,831.0720611274857,0.05005423817517,2.9196386825003344
High,architectureA,81,783.2976974602246,0.0501226753719422,2.893926849915786
High,architectureA,82,761.0938942914154,0.0501132990342291,2.8814382379232844
High,architectureA,83,843.1628443783701,0.0499829647547461,2.9259114602534533
High,architectureA,84,744.8362706129692,0.0500980839746358,2.872060816930762
High,architectureA,85,717.7726499899092,0.0501440350121522,2.855986905954927
High,architectureA,86,900.5409827866522,0.0501222872360152,2.9545034819452147
High,architectureA,87,804.4010165786378,0.0499795421842604,2.905472610773802
High,architectureA,88,802.7704364807953,0.0500770416207756,2.904591370405298
High,architectureA,89,812.0557524590794,0.0500714463909085,2.9095858471649794
High,architectureA,90,864.0506985773837,0.0500690482503269,2.936539225657625
High,architectureA,91,846.3992354019546,0.0500512026866357,2.9275752623696762
High,architectureA,92,741.7768906164398,0.0500827852874186,2.870273299154233
High,architectureA,93,930.8817609636618,0.0501873383851403,2.968894521129441
High,architectureA,94,906.4727768770322,0.0500458416781284,2.9573547659278154
