density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,A-Gradient45-90,100,24.30129602921483,1.3856294358751444
Low,A-Gradient45-90,10,25.62674242455919,1.408693403806047
Low,A-Gradient45-90,11,14.002509671960595,1.1462058813213294
Low,A-Gradient45-90,12,21.74769747949152,1.3374132831350212
Low,A-Gradient45-90,13,17.325195776651423,1.238678150887827
Low,A-Gradient45-90,14,24.11320503067634,1.382254938897913
Low,A-Gradient45-90,15,18.837692229780234,1.2750276971160182
Low,A-Gradient45-90,16,22.14564231042903,1.3452882810456865
Low,A-Gradient45-90,17,19.109806581035954,1.2812562913870964
Low,A-Gradient45-90,18,24.414083153754888,1.3876404194355607
Low,A-Gradient45-90,19,25.479055201836445,1.4061833197293852
Low,A-Gradient45-90,1,23.792403893005297,1.3764383236986688
Low,A-Gradient45-90,20,16.516443243070412,1.2179165292908587
Low,A-Gradient45-90,21,16.81285972940415,1.2256415896482735
Low,A-Gradient45-90,22,23.84550001681534,1.3774064335959284
Low,A-Gradient45-90,23,11.886514901618892,1.0750545391552684
Low,A-Gradient45-90,24,15.396649781906556,1.1874262312574213
Low,A-Gradient45-90,25,28.38998967860785,1.453165234634893
Low,A-Gradient45-90,26,21.82095716613218,1.3388737967955069
Low,A-Gradient45-90,27,24.925714179832298,1.3966476107115466
Low,A-Gradient45-90,28,28.325392509318565,1.4521759366625333
Low,A-Gradient45-90,29,15.075278793581546,1.1782653524801472
Low,A-Gradient45-90,2,23.80294534189564,1.376630699350189
Low,A-Gradient45-90,30,33.6818185366062,1.5273955317317705
Low,A-Gradient45-90,31,10.97980596165972,1.040594665202864
Low,A-Gradient45-90,32,14.223961660110572,1.1530205730113425
Low,A-Gradient45-90,33,19.503155655069506,1.2901048868857903
Low,A-Gradient45-90,34,14.980207912727291,1.175517841048599
Low,A-Gradient45-90,35,18.872004534484148,1.2758180322279633
Low,A-Gradient45-90,36,20.419028645104,1.3100350783921664
Low,A-Gradient45-90,37,11.17759252931109,1.048348273691301
Low,A-Gradient45-90,38,25.517058146313413,1.4068306032596007
Low,A-Gradient45-90,39,21.620412724069443,1.3348639801850555
Low,A-Gradient45-90,3,18.671605406697843,1.2711816607072657
Low,A-Gradient45-90,40,14.248246785379736,1.1537614286758813
Low,A-Gradient45-90,41,20.15502879445074,1.3043834229436535
Low,A-Gradient45-90,42,17.746326563652634,1.2491084690395327
Low,A-Gradient45-90,43,28.951968509041603,1.461678097719758
Low,A-Gradient45-90,44,21.236493859975173,1.3270828164133335
Low,A-Gradient45-90,45,27.1931256801131,1.4344591298974017
Low,A-Gradient45-90,46,27.684132086832424,1.442230912684222
Low,A-Gradient45-90,47,21.19132292858732,1.3261580696249704
Low,A-Gradient45-90,48,23.595577790535263,1.3728306164816308
Low,A-Gradient45-90,49,22.66526280701859,1.3553607591315813
Low,A-Gradient45-90,4,22.365773062876123,1.3495839139613428
Low,A-Gradient45-90,50,22.541434407992234,1.3529815486069263
Low,A-Gradient45-90,52,23.39408445102117,1.369106053347396
Low,A-Gradient45-90,53,24.088942366102977,1.3818177325575542
Low,A-Gradient45-90,54,24.90044781910747,1.3962071576828208
Low,A-Gradient45-90,55,24.89659968695291,1.3961400363313599
Low,A-Gradient45-90,56,25.17047391904888,1.4008913926834503
Low,A-Gradient45-90,57,24.06787934093594,1.3814378255844069
Low,A-Gradient45-90,58,23.70670466251063,1.3748711893071242
Low,A-Gradient45-90,59,24.767738639449263,1.3938863561521904
Low,A-Gradient45-90,5,28.25696212894488,1.4511254695594884
Low,A-Gradient45-90,60,15.06438877817071,1.1779515153221678
Low,A-Gradient45-90,61,27.18058376011536,1.434258779882655
Low,A-Gradient45-90,63,22.14745679693837,1.3453238631790128
Low,A-Gradient45-90,64,17.06199984399593,1.232029933649221
Low,A-Gradient45-90,65,24.895464742860057,1.396120237997528
Low,A-Gradient45-90,66,18.13807213759737,1.258591124813538
Low,A-Gradient45-90,67,28.37747942817256,1.4529738175115048
Low,A-Gradient45-90,68,20.54326972249575,1.3126695682497673
Low,A-Gradient45-90,69,18.099530517759405,1.257667309886267
Low,A-Gradient45-90,6,28.96853648422861,1.461926554821336
Low,A-Gradient45-90,70,21.664703501198,1.3357527497435882
Low,A-Gradient45-90,71,16.5069371758605,1.2176664983978656
