density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architectureA,5,1,0.0035942624737357,64.03125914256118,1.8063920420910669
Low,control,46,1,0.0036049171625038,27.05033523311996,1.4321726516604072
Low,architectureD,58,2,0.0060305251983645,51.31309854428599,1.7102282403434577
Low,control,19,2,0.0060304769727466,56.18413244402915,1.749613679180892
Low,control,22,2,0.0060291120156011,54.79526914081325,1.7387430644199473
Low,architectureB,12,3,0.0076650922052007,74.38112720744628,1.871462755580691
Low,architectureB,22,3,0.0076616611824738,22.819795432650704,1.3583117468802157
Low,architectureB,31,3,0.0076623590730807,62.35959090833838,1.7949032574655854
Low,architectureC,30,3,0.0076592548266062,60.63924041749768,1.7827537525752604
Low,architectureC,56,3,0.0076564469369819,23.69563023517514,1.3746682641651484
Low,control,53,3,0.0076604315904767,56.89822800495873,1.7550987412693828
Low,architectureC,53,4,0.0079115908559503,101.31911938762488,2.0056914064762164
Low,architectureC,69,4,0.0078916067312445,103.17389174231975,2.013569812535835
Low,control,23,4,0.0079204358366872,97.45655109648506,1.9888110380090716
Low,control,42,4,0.0079232148659272,94.79639974130804,1.9767918436442444
Low,control,43,4,0.0079266523139869,94.6452234900608,1.9760987010863589
Low,control,68,4,0.0079003412210402,30.150365889073115,1.4792925868788651
Low,control,8,4,0.0078890002843629,34.68687353619256,1.5401651569429595
Low,architectureB,20,5,0.0079622453545219,131.69693961724764,2.119575682913305
Low,architectureB,63,5,0.0079374497767068,62.236357769517376,1.7940441687039168
Low,architectureC,72,5,0.0079439521681836,127.90885981655217,2.1069006276387414
Low,architectureD,20,5,0.0079654617085853,133.02241184596596,2.1239248178170196
Low,architectureD,3,5,0.007938351056507,138.3549174255605,2.140994599493115
Low,architectureD,67,5,0.0079525029209239,135.75434606250704,2.1327537420601597
Low,control,11,5,0.0079629242192268,156.59193294365363,2.194769384999714
Low,control,45,5,0.0079300166920797,92.82631467105364,1.9676711087233079
Low,control,57,5,0.0079487450940972,93.05813173685937,1.968754329257668
Low,control,88,5,0.0079282802039809,94.8139292218384,1.9768721447199114
Low,architectureA,1,6,0.006414329976385,94.83832268928542,1.9769838644412265
Low,architectureC,34,6,0.0064375387741634,103.39464893046409,2.014498062934838
Low,architectureC,3,6,0.0064206269715414,103.23575069014088,2.01383012014727
Low,architectureC,40,6,0.0064349710300889,104.30647924763684,2.0183112865099213
Low,architectureC,76,6,0.0064495695638221,139.64948368386192,2.1450393343537857
Low,architectureC,82,6,0.0064540650465622,144.02779864376828,2.1584463228760793
Low,architectureD,72,6,0.0064339510342045,80.21015556162276,1.904229358622697
Low,control,72,6,0.0064613890551201,102.47556021522853,2.0106203012038835
Low,control,87,6,0.0064542555746422,94.85424651213904,1.9770567785088833
Low,architectureA,54,7,0.0043418774349363,155.49934229500698,2.191728556460906
Low,architectureB,55,7,0.004328978423272,115.52274797920995,2.062667511060163
Low,architectureB,85,7,0.004331320256435,116.22246083283562,2.065290066721469
Low,architectureC,81,7,0.0043107784904135,113.62192405728,2.0554621392836485
Low,architectureD,12,7,0.0043403437394371,128.7423688577526,2.109721495878748
Low,architectureD,20,7,0.0043263902340824,131.65282608268993,2.119430186183783
Low,architectureD,44,7,0.0043205279962307,212.7901484247693,2.327951517496131
Low,architectureD,50,7,0.00434501894715,133.77219719199647,2.126365860361661
Low,architectureB,48,8,0.0014002455899021,116.18587548509863,2.0651533348380635
Low,architectureC,92,8,0.001413204867422,114.39686608923672,2.058414127089925
Low,control,6,8,0.0013889769966719,142.02627582650788,2.152368699247825
Low,architectureA,66,9,0.0003184567389048,166.68862256455458,2.2219059578000557
Low,architectureA,73,9,0.0003198781367693,159.35456095932076,2.2023644981274058
Low,architectureA,98,9,0.0003172984456096,168.7760726347894,2.227310876772781
Low,architectureB,29,9,0.0003343321892439,190.6821793158548,2.2803101068560188
Low,architectureC,35,9,0.0003240503309253,228.9369217548018,2.3597158390759816
Low,architectureD,12,9,0.0003208300509963,207.6084339508192,2.3172449924514718
Low,architectureD,37,9,0.0003201983443721,218.5739425568165,2.339598385983681
Low,architectureB,14,10,0.0002295324417623,170.2884875212543,2.2311852881563987
Low,architectureD,92,10,0.0002287303669075,163.1932931438403,2.2127023063144486
Low,control,60,10,0.0002305361678938,161.1436663835536,2.207213240603994
