density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architecture_A,100,1,0.003599302773801,58.681590388949104,1.768501875583395
Low,architecture_A,100,2,0.006045778139104,41.900878768913664,1.6222231313311644
Low,architecture_A,100,3,0.0076671085639817,35.611959974767174,1.5515958765892133
Low,architecture_A,100,4,0.0079001632557446,47.23056421901625,1.6742231337143607
Low,architecture_A,100,5,0.0079586782712813,130.21327712249808,2.1146552690789764
Low,architecture_A,100,6,0.0064354583950667,156.1182664123992,2.193453720089937
Low,architecture_A,100,7,0.0043288801977365,182.9645421980271,2.2623669333381575
Low,architecture_A,100,8,0.0013998454240254,196.46696065167103,2.2932895266549647
Low,architecture_A,100,9,0.000323298518341,225.06292212775733,2.352303953278354
Low,architecture_A,100,10,0.0002296773354197,197.68571727407257,2.2959752928183237
Low,architecture_B,100,1,0.0036038938614587,61.76445155680084,1.7907385894145291
Low,architecture_B,100,2,0.0060455063383497,29.38552880617561,1.468133510450712
Low,architecture_B,100,3,0.0076591776282567,48.70678800989509,1.6875894907794735
Low,architecture_B,100,4,0.0079016663265894,64.46063431080843,1.8092945747774407
Low,architecture_B,100,5,0.0079437660223177,108.77563927604533,2.036531644327366
Low,architecture_B,100,6,0.0064617198429741,139.5448357524128,2.1447137688380473
Low,architecture_B,100,7,0.0043243411429809,149.93846447748527,2.175913058915258
Low,architecture_B,100,8,0.0014009993489063,197.1027526848834,2.2946926895636004
Low,architecture_B,100,9,0.0003225612572214,229.37777624108028,2.3605513380490692
Low,architecture_B,100,10,0.0002282959414503,220.14140802005315,2.3427017398873153
Low,architecture_C,100,1,0.0035844230429868,46.40273614614426,1.6665435895664644
Low,architecture_C,100,2,0.0060311863372263,30.706859971580755,1.4872354085388773
Low,architecture_C,100,3,0.0076696382854644,34.48051093999332,1.5375736926740093
Low,architecture_C,100,4,0.0079008655795116,52.08671647561488,1.716726980556743
Low,architecture_C,100,5,0.0079581872588748,100.5720980176244,2.0024775099669863
Low,architecture_C,100,6,0.0064451693375747,120.2547585414123,2.0801022706374566
Low,architecture_C,100,7,0.0043268919902789,189.1150287966798,2.2767260431978507
Low,architecture_C,100,8,0.0013956733425125,210.7913998884304,2.323852888052893
Low,architecture_C,100,9,0.0003170628065181,260.1793683245258,2.4152728549539884
Low,architecture_C,100,10,0.0002306078330032,228.93220680785765,2.3597068947060182
Low,architecture_D,100,1,0.0035913900533031,48.71159514144049,1.687632351492988
Low,architecture_D,100,2,0.0060348448664719,37.03780634503706,1.5686452566152473
Low,architecture_D,100,3,0.0076443219202942,41.79865319099944,1.6211622884463188
Low,architecture_D,100,4,0.0079114834170993,55.28123448229611,1.7425777326813199
Low,architecture_D,100,5,0.0079214202847307,86.57678334567224,1.9374014460974212
Low,architecture_D,100,6,0.0064452236301226,123.66811559591704,2.0922577432373655
