density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architectureA,100,1,0.00358785222021,46.68875314893805,3.8435033037416644
Low,architectureA,10,1,0.003593675583235,55.35488050725962,4.013764830647003
Low,architectureA,11,1,0.0035931066067927,59.26671151461974,4.082047791126027
Low,architectureA,12,1,0.0035901939024601,44.5845192351286,3.7973866964206775
Low,architectureA,13,1,0.0035949435475211,48.54990982065242,3.8825923372825177
Low,architectureA,14,1,0.0035977405355418,42.8224778726676,3.757063148667763
Low,architectureA,15,1,0.0035956440699776,49.63033648759816,3.904602269499762
Low,architectureA,16,1,0.0036003173628638,47.754540466661126,3.866074150713172
Low,architectureA,17,1,0.0035917438147559,49.82497871501905,3.908516438903966
Low,architectureA,18,1,0.0035906796724211,49.62530974973543,3.9045009807961453
Low,architectureA,19,1,0.0035922917336144,41.13478143470928,3.7168540272412565
Low,architectureA,1,1,0.0035923354686793,49.87441309849391,3.909508107692047
Low,architectureA,20,1,0.0035855269267778,52.59184907828535,3.9625611472471753
Low,architectureA,21,1,0.00359912088993,47.71862766898258,3.8653218388317576
Low,architectureA,22,1,0.0036023968412836,47.98305804527564,3.8708479912136795
Low,architectureA,23,1,0.0035933041198583,59.60715294795671,4.0877755827752855
Low,architectureA,24,1,0.0035967536791096,40.61413531769629,3.704116166548263
Low,architectureA,25,1,0.0036000009262943,45.16257013252866,3.8102686493655207
Low,architectureA,26,1,0.0036023206469055,48.89138686364769,3.8896012432090337
Low,architectureA,27,1,0.0035914242770502,49.17144901201209,3.8953131504224596
Low,architectureA,28,1,0.0036011841661056,55.024830001017015,4.007784537921465
Low,architectureA,29,1,0.0036019373443686,51.536543943044485,3.9422911471560185
Low,architectureA,2,1,0.0036016809605228,41.594960824740646,3.7279790259092422
Low,architectureA,30,1,0.0035898605424972,39.58380730843942,3.678420128282895
Low,architectureA,31,1,0.0035941208775374,60.247227323174286,4.0984565517794564
Low,architectureA,32,1,0.003593818698612,36.968654651667386,3.6100703820150266
Low,architectureA,33,1,0.0035993950263061,42.19038055804028,3.742192246196071
Low,architectureA,34,1,0.0035973373599308,49.899417087630106,3.9100093210786233
Low,architectureA,35,1,0.0035937596100868,48.49693840857872,3.881500670354618
Low,architectureA,36,1,0.0035938186036227,56.73242487944322,4.038345914642194
Low,architectureA,37,1,0.0035936737432676,38.71748733158494,3.656291367006872
Low,architectureA,38,1,0.0035944397011639,50.00043089826604,3.9120316233563326
Low,architectureA,39,1,0.0035991529386883,41.772460888887984,3.7322372919972073
Low,architectureA,3,1,0.0036006346888928,49.224567840594,3.8963928452198964
Low,architectureA,40,1,0.0035998196936937,53.27056104497681,3.97538385297363
Low,architectureA,41,1,0.0035876561873846,43.955483745730895,3.78317738871934
Low,architectureA,42,1,0.0035949972316851,52.31443021665255,3.9572722453783546
Low,architectureA,43,1,0.0036016379685772,56.05280141343335,4.026294128883513
Low,architectureA,44,1,0.0035962350895279,55.1486700450785,4.01003263017897
Low,architectureA,45,1,0.0035956499525261,46.814622383009095,3.846195598204505
Low,architectureA,46,1,0.0035915021335999,55.70006584177244,4.019981329011039
Low,architectureA,47,1,0.0035970017463272,41.45105221737703,3.7245132664792986
Low,architectureA,48,1,0.0035893127838013,48.85588882791054,3.888874920412893
Low,architectureA,49,1,0.0035929022353289,56.93909318903934,4.041982155994929
Low,architectureA,4,1,0.00360606631979,36.898700996615375,3.6081763470830723
Low,architectureA,50,1,0.0036008486435934,47.8010241914345,3.8670470658669123
Low,architectureA,51,1,0.0035852252607263,45.842731873483466,3.8252166664746023
Low,architectureA,52,1,0.0035935433801353,50.82637451642935,3.9284154032496468
Low,architectureA,53,1,0.0035954325575881,56.92366312825178,4.04171112688267
Low,architectureA,54,1,0.0035922258776581,52.09136697952001,3.9529992340604934
Low,architectureA,55,1,0.0035913170918832,47.57280898884023,3.862261358287551
Low,architectureA,56,1,0.0035981713893808,52.47827869321051,3.9603993448069668
Low,architectureA,57,1,0.0035986305519593,51.574390193434056,3.9430252352021813
Low,architectureA,58,1,0.0035929701648706,39.85295532650508,3.685196563753793
Low,architectureA,59,1,0.0035981264705185,39.985959844329095,3.688528388605879
Low,architectureA,60,1,0.0035913797469248,51.90301528093381,3.9493768863827574
Low,architectureA,61,1,0.0035928582700917,51.489329137935634,3.9413745849954216
