Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0015649874977945516,1.4486067359818122,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.012121813057976018,10.035805020894237,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.003964364983268619,3.6695537994689147,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.010318632793751172,9.551284589950807,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.005874659112907428,4.863705877939228,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.006907282983462877,6.393620825263891,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.0024016838899786276,2.2230819515331173,0.0
