Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.28276762940856937,69.95500808602148,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.3418142071557617,59.79491027904134,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.2362264020782471,58.44098881501864,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.25320347804458615,62.641015136936296,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.38294471878540043,66.99003324683709,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.2338690852719879,57.85780283793884,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.22162830069091796,54.82950647269002,0.0
