Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.009138286624963689,8.458715215878824,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.012617041298061075,10.445810853731597,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0076409262522759555,7.072706493684904,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.005604232128434042,5.187471735522452,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.011996042585650468,9.931678028371904,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.009255706260015178,8.56740290476568,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.013298827638849075,12.30985635696555,0.0
