Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0035891628234551247,3.3222536601216643,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.005825771625912972,4.823231298345292,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0053837547411662336,4.9833902148854445,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.005963994057841681,5.520479861800874,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.003346612329542665,2.770703413687085,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.0033028285987553373,3.057212765400923,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.004895890966288205,4.5318065750635474,0.0
