Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.03459162772368039,8.557760314290672,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.03895449760050059,6.81446423297915,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.18122853020159005,44.834846627199596,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.041725933392624856,10.32274455878508,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.09152359251106262,16.010583785128315,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.03368871826167881,8.33438595263769,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.068299987902143,16.897005558815167,0.0
