Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.07972108584592819,19.722516387900622,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.090329764202137,15.801742680439363,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.054749609665081515,13.54472361223971,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.036220790882256035,8.9608054654276,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.04782222694857598,8.365731177554574,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.09132181933471682,22.592467968671613,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.022010641601246297,5.445300137127517,0.0
