Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.009408501854411363,8.708835809234618,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.01037628238681689,8.590657715787339,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.004371173180034235,4.046109583408249,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.009369390367956868,8.672632860129857,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.005250678476162564,4.347104279050153,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.016223735559743643,15.017252628376953,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.0166593166066248,15.420441560855496,0.0
