Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.05428893265570204,13.43075489529856,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.5009540563217163,87.63387309418898,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.13564486250151397,33.55772184025359,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.13566634572596553,33.56303666056512,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.18401720811131794,32.19085754326716,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.033759647543041914,8.351933429559535,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.14606349695823592,36.13522924161245,0.0
