Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0022960473622976436,2.1253011157244903,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.0067872395892954384,5.619242997931248,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0035747893314399906,3.3089490571251248,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.008279677259769882,7.6639565920881445,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.012428563974355423,10.289768052005225,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.006585508046097355,6.095774777040052,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.007647999555203749,7.079253788331846,0.0
