Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.09898513399745941,24.48832585141142,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.16357934189186094,28.61558082479363,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.16558267266098023,40.964155724371196,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.19181304865814208,47.45339273080922,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.3680187061297608,64.3789668578935,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.1035440331646919,25.616170041972225,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.1983397029269409,49.06804767948013,0.0
