Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.01572897470048308,14.559284807908723,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.009851419942712188,8.156117344092785,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.024155382353422267,22.35906014373626,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.015813685807849465,14.637696348522534,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.018817249585364768,15.579043082500355,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.024154537115720614,22.358277762388266,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.01875683893847849,17.361981019207402,0.0
