Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.0672610428953743,16.63997682288294,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.0661821699235344,11.577508569872506,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.05971416955142977,14.772925820955843,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.08949145027030944,22.139645688522943,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.1441324153791809,25.21365310591762,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.11099094903470993,27.45849216700697,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.18887401553619382,46.72629364156409,0.0
