Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.0931462778778839,23.043828021471192,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.10353071111083983,18.111036499945744,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.11664152255041836,28.85641001498983,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.09455656519720078,23.39272460851255,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.2201426350484466,38.51042126319564,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.0644688908733964,15.949215232939274,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.08046931720494271,19.90762431867599,0.0
