Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.2483442198461914,61.438863931468546,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.27874806892944337,48.76250145008386,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.23453683785400392,58.02300080409959,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.2715112052960205,67.17023657076692,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.35543275242645267,62.177256230568595,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.21823754047988894,53.99065282287014,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.25585249825897216,63.29636677992671,0.0
