Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.144479766507268,35.743423868645024,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.07664355811915571,13.407560555588672,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.03782186205695032,9.35690082898211,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.13428466270717282,33.221216605157345,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.16664869715929034,29.15251527335741,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.10204779770824264,25.24601040356728,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.023306857631646,5.765976174471323,0.0
