Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0011718528232829927,1.0847076387378904,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.003076095659619895,2.546739181499873,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.00269268744340506,2.4924449389577705,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,4.710842463500281E-4,0.4360519259350354,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.0021741726652568685,1.800025528022712,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.0021771590982401835,2.0152540128655065,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,4.206911901117342E-4,0.38940636434660275,0.0
