Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0033984979337363945,3.145767621766078,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.0023686093046002064,1.9610021238532938,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0028648224019286405,2.6517790299755015,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,9.506350312127823E-4,0.8799407737223338,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.0026960613204154373,2.2321038615804007,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.005834553979522688,5.400665633493523,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.005800226334087355,5.368890773644421,0.0
