Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.03248424818453095,8.036407311438616,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.06921000389386216,12.107179533821292,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.0925883966365536,22.90581156311658,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.05891831374309379,14.57603588831434,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.08754054370569773,15.313813314598088,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.06368793567266427,15.75601162085573,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.06527932348946573,16.14971138000139,0.0
