Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.06530917863706151,16.15709736366522,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.0661653412981113,11.574564671912071,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.04154291441747184,10.277466766862776,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.06576712691541811,16.27039100898955,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.10194965024313035,17.83445527321133,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.03728512046079625,9.224114191496072,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.04697165259156038,11.62050388769436,0.0
