Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.20592850851198835,50.94547246525072,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.2961802755137126,51.811986248698744,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.03991729322102988,9.875297875820474,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.2403803525062561,59.46865112696041,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.19632022785991035,34.34307341559666,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.04415301938654508,10.923191012593394,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.2196038421852112,54.328667633984395,0.0
