Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.24910273334121702,61.62651560075211,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.2795589517860413,48.90435239320452,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.20232357552127841,50.05363375994297,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.18487558983927965,45.73710721119361,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.2000221731630961,34.99066933942858,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.15983606745866138,39.54248021562852,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.18851036645228067,46.63632904887423,0.0
