Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.04621129253090859,11.43239538919884,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.09434201470559599,16.503621519436955,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.05316747732149601,13.153313601411483,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.08446243104715823,20.895496628193342,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.13928780968612672,24.366167083718718,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.06513801651542186,16.114752885874864,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.09173051062218249,22.69357573118016,0.0
