Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.004622344420514558,4.278602399713463,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.0075896301988729676,6.283552509206709,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.00777496561575933,7.196777979944292,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.003753802938517511,3.474650263946485,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.0020864057266611917,1.727362150125835,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.0011074957436886656,1.0251364925531183,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,9.092548847714189E-4,0.8416378742069396,0.0
