Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0012530451683386463,1.1598620908491877,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.00113555568010125,0.9401411605144754,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0011121623635239387,1.029456077813173,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.0056533473053668945,5.232934447680942,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.015146046972366545,12.53960719613309,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.0012902981301910733,1.1943447250879589,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.0030259469999560228,2.8009215492376387,0.0
