Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.04235915635273456,10.479400104497225,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.09466438303991258,16.560014686320393,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.12920205485039554,31.96381003969368,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.08248920165736676,20.407331564154177,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.11088446462442081,19.397457667800783,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.03948571900591453,9.76852901486118,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.10211707574660778,25.263149372918733,0.0
