Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.008987284951079375,8.318942826488106,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.008726071625627083,7.22442699077337,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.0036918121854790306,3.417269471737807,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.004600689057094725,4.258557443850037,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.005190310385060908,4.297124759577101,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.007674264777061716,7.103565789136407,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.004811021792465158,4.453248722652246,0.0
