Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.11987748139873505,29.6569667402186,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.25091451235198975,43.89346738580622,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.11377647221519471,28.14761382149826,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.07593875286239625,18.78678999304977,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.1215636818817234,21.265615352246623,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.09255722766665458,22.898100547729566,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.03582648819455445,8.863257355821853,0.0
