Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.004302627516258443,3.9826613383533283,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.010483580139590698,8.67949090607561,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.008517695022403597,7.884274092848003,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.002874210879605643,2.66046933071125,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.004399878948560468,3.642716401589417,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.005937752358541294,5.496189634291887,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,6.717342715385372E-4,0.6217805521845163,0.0
