Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.013421953782126546,12.423826187892994,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.0032093293176910383,2.6570450415413855,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.005114964257955047,4.73458841608753,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.0016484672344189366,1.5258784771059366,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.0022434405184107507,1.8573732750258627,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.0021067082546391055,1.9500422672509607,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.015967345861496604,14.779929426472522,0.0
