Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.11023084419342041,27.270446808244202,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.1700444510875702,29.746547929755064,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.07397712925938994,18.301496130746457,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.07592428276542425,18.78321017822868,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.1834029920324707,32.083410296904226,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.05873806685687065,14.531443894493856,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.09815211726463316,24.282242529913358,0.0
