Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.044414895634715255,10.987977618813485,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.43184109868214926,75.54367024520704,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.1412304078098615,34.93955210147391,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.12765047133297722,31.57995762442904,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.2233882133845647,39.07818310968713,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.2484902772792816,61.47499766054574,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.06911936322142409,17.09971407677984,0.0
