Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.08193389441738526,20.26995189822713,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.10771968279247283,18.843829873132098,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.03172708928972306,7.849090762088627,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.052616585674015684,13.017026326469114,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.1033135890146777,18.073054473488614,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.03760516247368455,9.303290657509155,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.04370077448489661,10.81130834830876,0.0
