Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.1110433358906269,27.47145235957547,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.12099896495574317,21.16682718834021,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.0787389447466135,19.47954059647826,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.09378844591473044,23.202696525281702,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.24614248691218693,43.05867811418216,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.15320216776129406,37.901293393990436,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.1429944482063055,35.37596506874111,0.0
