Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.09812102866901398,24.27455139863899,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.13446250263305665,23.522057048890147,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.07067667615315437,17.484983914630508,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.1362869551490784,33.716571693209865,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.2667423548120118,46.66229442691438,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.13300377821035383,32.904333496862215,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.2751307822932434,68.06569811506854,0.0
