Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.08323471134705146,20.59176617033304,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.1913907226374944,33.480735583160964,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.10164409820602735,25.146137578658497,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.11909093875401021,29.46238082815076,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.1308862504006664,22.89644911073458,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.022780716171024805,5.635811946659497,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.027159969830748254,6.7192129208709,0.0
