Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.017308703818161967,16.021536898817537,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.02157117330467176,17.85905196872843,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.010553071587930236,9.768289273312075,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.017953430402369273,16.618318198390487,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.005951837105486364,4.927602531164431,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.006363631174206594,5.890397844871279,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.00970938738417672,8.98734589688183,0.0
