Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.14142136,0.0,0.0701,0.004042135611804359,0.1777569886680603,43.97600816483042,0.0
2,0.28284273,0.07071068,0.0701,0.005716443181545683,0.25615843536773686,44.81080756556624,0.0
3,0.4242641,0.07071068,0.0701,0.004042135611804359,0.09665423859933855,23.911676371538977,0.0
4,0.56568545,0.14142136,0.0701,0.004042135611804359,0.23888753980712893,59.099338258097795,0.0
5,0.70710677,0.21213204,0.0701,0.005716443181545683,0.10953652393606184,19.16165707544809,0.0
6,0.8485281,0.21213204,0.0701,0.004042135611804359,0.09619673451343537,23.79849261675175,0.0
7,0.9899494,0.28284273,0.0701,0.004042135611804359,0.09374706942565916,23.19246023114292,0.0
