Tile Number, Tile x cohordinate [m], Tile y cohordinate [m], area_m2[m2], Tile z cohordinate [m],absorbedPARTile [umol^s-1],absorbedPARTilem2 [umol m^-2 m^-1],Thermal time[dd]
1,0.1118034,0.0,0.0701,0.00108033979058772,0.0037802855414553966,3.4991634802221516,0.0
2,0.22360681,0.0559017,0.0701,0.0012078565728149138,0.0071712075595604646,5.937135021625905,0.0
3,0.3354102,0.0559017,0.0701,0.00108033979058772,0.003021907730783159,2.797182661520964,0.0
4,0.44721362,0.1118034,0.0701,0.00108033979058772,0.007396848623116191,6.846779770179715,0.0
5,0.559017,0.1677051,0.0701,0.0012078565728149138,0.0077752913357506245,6.437263753617933,0.0
6,0.6708204,0.1677051,0.0701,0.00108033979058772,0.007473541318839863,6.917769190722996,0.0
7,0.7826238,0.22360681,0.0701,0.00108033979058772,0.005271950253547832,4.8799001013188805,0.0
