density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
Low,architectureB,13,10,0.0003389390984938915,218.43196417010302
Low,architectureC,13,1,0.0035545676074213834,58.83140427763352
Low,architectureC,13,2,0.00614412521661335,33.28924902112315
Low,architectureC,13,3,0.007296741764777133,43.25249951745158
Low,architectureC,13,4,0.007709968240007866,66.44526683099981
Low,architectureC,13,5,0.008603314825608417,98.0336377849005
Low,architectureC,13,6,0.006774721028797267,121.96363796388304
Low,architectureC,13,7,0.004986895448839233,140.0587974751683
Low,architectureC,13,8,0.0018272611011746834,143.9964944943812
Low,architectureC,13,9,0.0004642798759061746,166.41688807621628
Low,architectureC,13,10,0.0003387443123477049,193.9655834820203
Low,architectureD,13,1,0.0035546494982756833,63.92044454236704
Low,architectureD,13,2,0.0061301985368007,25.614847559859612
Low,architectureD,13,3,0.00729089142617625,24.01935417076889
Low,architectureD,13,4,0.007729908374741783,63.65885479510818
Low,architectureD,13,5,0.008613156407159867,73.9551853808017
Low,architectureD,13,6,0.006797709341592317,98.42078029847245
Low,architectureD,13,7,0.00500923617556295,191.0691625068706
Low,architectureD,13,8,0.00183812465145695,208.95692712702365
Low,architectureD,13,9,0.00046137448962233445,245.85704221062483
Low,architectureD,13,10,0.0003364536544843266,260.97040753790384
Low,architectureE,13,1,0.003557672746712367,5.955191209139066
Low,architectureE,13,2,0.00613955976858365,14.78920039050646
Low,architectureE,13,3,0.0072912019193438,12.875097661401405
Low,architectureE,13,4,0.007752727709428899,23.537578804752197
Low,architectureE,13,5,0.008597280252923634,71.37548031491782
Low,architectureE,13,6,0.00680003688703025,113.71447034221187
Low,architectureE,13,7,0.005005590897980983,152.60138639572196
Low,architectureE,13,8,0.0018350307375617333,202.61656422041918
Low,architectureE,13,9,0.0004558670224839339,220.69703719499162
Low,architectureE,13,10,0.0003393693632659529,221.01687651072314
Low,control,13,1,0.0035582497065475165,42.86207925342334
Low,control,13,2,0.0061490381805461005,44.67005731688963
Low,control,13,3,0.007285477040191683,48.036267088151966
Low,control,13,4,0.007721730576222733,61.31317391488235
Low,control,13,5,0.00862633668735755,109.27084191988165
Low,control,13,6,0.0067965366630117,130.2189914346379
Low,control,13,7,0.005000400133932017,105.70405157695582
Low,control,13,8,0.0018442035119725,150.89773701056512
Low,control,13,9,0.0004624012952440888,213.2184964350731
Low,control,13,10,0.0003406080878312972,194.65581802045597
Low,architectureA,14,1,0.00355804371427205,41.99856218916401
Low,architectureA,14,2,0.006140109203456,28.627241896861733
Low,architectureA,14,3,0.007281838851454584,26.255605858706158
Low,architectureA,14,4,0.007729104168042033,65.14943084047619
Low,architectureA,14,5,0.008632290463776301,93.54444133375858
Low,architectureA,14,6,0.006796927926194717,151.63769205726445
Low,architectureA,14,7,0.005000415610294833,162.868342024597
Low,architectureA,14,8,0.0018280020893056666,172.36694169074892
Low,architectureA,14,9,0.00046855125211582425,176.79491531676126
Low,architectureA,14,10,0.00033915353384278755,166.37340735665387
Low,architectureB,14,1,0.0035612174993241,45.25026548649418
Low,architectureB,14,2,0.006148485431100084,26.251172590244703
Low,architectureB,14,3,0.007312783394191149,30.6450892257715
Low,architectureB,14,4,0.007765732788736983,46.07959365277418
Low,architectureB,14,5,0.00862643207874745,71.59170235976457
Low,architectureB,14,6,0.006799953464767367,128.7946790442185
Low,architectureB,14,7,0.005001275748193183,156.86009890456955
Low,architectureB,14,8,0.0018140275335087666,152.07646360116675
Low,architectureB,14,9,0.0004704928737110945,244.81498005690685
Low,architectureB,14,10,0.00033823391571673346,230.0054663386552
Low,architectureC,14,1,0.0035588939549775667,52.12671485679241
Low,architectureC,14,2,0.006144600832215867,32.25781491126627
Low,architectureC,14,3,0.007278723327098467,43.14260291743386
Low,architectureC,14,4,0.007725991056602666,76.78330752453239
Low,architectureC,14,5,0.008612687810524067,96.8984147111043
Low,architectureC,14,6,0.006798320042187966,140.46848497465967
Low,architectureC,14,7,0.005014777146855083,131.13607269468795
Low,architectureC,14,8,0.00182295364813135,153.82742162679494
Low,architectureC,14,9,0.000462724018251225,194.04283511791252
Low,architectureC,14,10,0.0003373497666972893,134.46411117288267
Low,architectureD,14,1,0.00355829197742365,50.08655179519203
Low,architectureD,14,2,0.006146310993634967,40.27186325918752
Low,architectureD,14,3,0.007307100085869417,30.483158292360688
Low,architectureD,14,4,0.0077605642895455,46.706777354536236
Low,architectureD,14,5,0.008624350475212499,67.56558616352389
Low,architectureD,14,6,0.006818191854354433,124.27517555629684
Low,architectureD,14,7,0.0049816723199039336,182.06160372024326
Low,architectureD,14,8,0.0018217679238715,210.8130113744618
Low,architectureD,14,9,0.0004568602378623738,261.4036812509612
Low,architectureD,14,10,0.0003399993365194719,242.87933430415822
Low,architectureE,14,1,0.00355588829464905,7.716126133989211
Low,architectureE,14,2,0.006143472198457016,9.495148201407003
Low,architectureE,14,3,0.007287485955864817,17.133051850040207
Low,architectureE,14,4,0.0077234891020297,39.681176332017294
Low,architectureE,14,5,0.0086272692346705,77.71405840378749
Low,architectureE,14,6,0.006815214120635867,111.51812251247993
Low,architectureE,14,7,0.00500936418850455,163.60980872126814
Low,architectureE,14,8,0.0018368620709524833,196.42038258389005
Low,architectureE,14,9,0.00047427051616480317,230.4350671248679
Low,architectureE,14,10,0.000338113246057724,211.37118223512923
Low,control,14,1,0.0035612985638143664,47.91896855984001
Low,control,14,2,0.0061487940850557836,21.635536909610096
Low,control,14,3,0.007295381658134832,34.92397803695757
Low,control,14,4,0.007730281163659883,58.44588950219012
Low,control,14,5,0.00860492953291035,105.61248261221021
Low,control,14,6,0.006787268103332734,131.93895141666803
Low,control,14,7,0.0050072489095457995,118.98692322623909
Low,control,14,8,0.0018064786037287502,186.99067713098165
Low,control,14,9,0.0004564444467985743,211.96152654177476
Low,control,14,10,0.0003395494969475411,225.21709761716974
Low,architectureA,15,1,0.0035544901160176998,48.523425525863104
Low,architectureA,15,2,0.006150986048329101,40.31476700648933
Low,architectureA,15,3,0.007292286910371583,27.15640439479546
Low,architectureA,15,4,0.0077554926040612,52.31557482614383
Low,architectureA,15,5,0.008593243918814218,83.88744183490952
Low,architectureA,15,6,0.0068057958579506505,101.96757142515663
Low,architectureA,15,7,0.005013361171597767,165.34919621725444
Low,architectureA,15,8,0.0018470659303809998,181.71489679291645
Low,architectureA,15,9,0.0004592067255209448,205.08031616682624
Low,architectureA,15,10,0.0003394410362072199,155.36028095081963
Low,architectureB,15,1,0.00355338086778895,44.14349029984678
Low,architectureB,15,2,0.006149687339795783,35.91465050181228
Low,architectureB,15,3,0.0072777470007392335,24.594248828081422
Low,architectureB,15,4,0.007722544959488233,52.3670800290648
Low,architectureB,15,5,0.008609970554825068,135.33245966002343
Low,architectureB,15,6,0.006767430166648933,115.57797392284573
Low,architectureB,15,7,0.0050040915851505665,132.3220594503579
Low,architectureB,15,8,0.0018168126869718667,160.4015013716249
Low,architectureB,15,9,0.0004697596121538792,218.96831455466076
Low,architectureB,15,10,0.0003400110838468554,174.50521325669186
Low,architectureC,15,1,0.0035579140312477337,60.53324904675031
Low,architectureC,15,2,0.006151773272429634,28.714465032021764
