density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,A-Gradient45-90,48,2.0872401999918564,0.7644112476714532,270.9647598000081,99.23558875232854
High,A-Gradient45-90,49,2.619598860214312,0.959377283526329,270.4324011397857,99.04062271647368
High,A-Gradient45-90,4,2.816981301328237,1.0316647749616326,270.2350186986718,98.96833522503836
High,A-Gradient45-90,50,4.14906888052067,1.5195160191174832,268.9029311194794,98.48048398088252
High,A-Gradient45-90,51,3.035263121503994,1.1116062586994395,270.01673687849603,98.88839374130056
High,A-Gradient45-90,52,3.4789952176314825,1.27411453409295,269.5730047823685,98.72588546590704
High,A-Gradient45-90,53,3.15856853272884,1.1567644744330163,269.8934314672712,98.84323552556695
High,A-Gradient45-90,54,1.2442279214227103,0.4556743482643271,271.80777207857733,99.54432565173568
High,A-Gradient45-90,55,2.5010840305224806,0.9159735253806895,270.5509159694776,99.08402647461932
High,A-Gradient45-90,56,3.7723967065758433,1.3815671398033498,269.2796032934242,98.61843286019666
High,A-Gradient45-90,57,3.6092409013136657,1.3218144900288828,269.44275909868634,98.6781855099711
High,A-Gradient45-90,58,4.128673355767748,1.51204655368492,268.92332664423225,98.48795344631507
High,A-Gradient45-90,59,2.6556010463546147,0.9725623860490362,270.3963989536454,99.02743761395097
High,A-Gradient45-90,5,4.701221502738595,1.7217312097104562,268.35077849726144,98.27826879028954
High,A-Gradient45-90,60,2.572664525256284,0.9421884934943834,270.4793354747437,99.05781150650562
High,A-Gradient45-90,61,3.0236976205601382,1.107370618255914,270.0283023794399,98.89262938174409
High,A-Gradient45-90,62,1.8569509750859756,0.6800722847977584,271.19504902491406,99.31992771520224
High,A-Gradient45-90,63,4.032244223485758,1.4767312539317632,269.0197557765143,98.52326874606824
High,A-Gradient45-90,64,2.686984869152921,0.9840561025566268,270.3650151308471,99.01594389744336
