density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
Low,A-Gradient45-90,100,24.30129602921483,8.899878422137478,248.7507039707852,91.10012157786252
Low,A-Gradient45-90,10,25.62674242455919,9.385297461494217,247.42525757544084,90.61470253850578
Low,A-Gradient45-90,11,14.002509671960595,5.128147631938457,259.04949032803944,94.87185236806155
Low,A-Gradient45-90,12,21.74769747949152,7.964672472456351,251.3043025205085,92.03532752754366
Low,A-Gradient45-90,13,17.325195776651423,6.345016984549251,255.7268042233486,93.65498301545075
Low,A-Gradient45-90,14,24.11320503067634,8.830993741366603,248.93879496932368,91.1690062586334
Low,A-Gradient45-90,15,18.837692229780234,6.898939480311528,254.2143077702198,93.10106051968847
Low,A-Gradient45-90,16,22.14564231042903,8.11041204987659,250.906357689571,91.8895879501234
Low,A-Gradient45-90,17,19.109806581035954,6.998596084641735,253.94219341896405,93.00140391535828
Low,A-Gradient45-90,18,24.414083153754888,8.941184519342428,248.63791684624516,91.05881548065756
Low,A-Gradient45-90,19,25.479055201836445,9.331209880109444,247.5729447981636,90.66879011989056
Low,A-Gradient45-90,1,23.792403893005297,8.713506545641597,249.25959610699476,91.2864934543584
Low,A-Gradient45-90,20,16.516443243070412,6.048827052382114,256.5355567569296,93.95117294761788
Low,A-Gradient45-90,21,16.81285972940415,6.157383842419812,256.2391402705959,93.8426161575802
Low,A-Gradient45-90,22,23.84550001681534,8.732951971351735,249.20649998318467,91.26704802864826
Low,A-Gradient45-90,23,11.886514901618892,4.353205580482432,261.1654850983811,95.64679441951756
Low,A-Gradient45-90,24,15.396649781906556,5.638724412165652,257.6553502180935,94.36127558783434
Low,A-Gradient45-90,25,28.389989678607854,10.397283183645554,244.66201032139216,89.60271681635444
Low,A-Gradient45-90,26,21.82095716613218,7.991502412043193,251.23104283386783,92.0084975879568
Low,A-Gradient45-90,27,24.925714179832298,9.12855946114011,248.1262858201677,90.87144053885989
Low,A-Gradient45-90,28,28.325392509318565,10.373625723055888,244.72660749068143,89.6263742769441
Low,A-Gradient45-90,29,15.075278793581546,5.521028519689123,257.97672120641846,94.47897148031088
Low,A-Gradient45-90,2,23.802945341895636,8.717367146878848,249.2490546581044,91.28263285312116
Low,A-Gradient45-90,30,33.6818185366062,12.3353128842148,239.3701814633938,87.66468711578518
Low,A-Gradient45-90,31,10.97980596165972,4.021141014041179,262.0721940383403,95.9788589859588
Low,A-Gradient45-90,32,14.223961660110572,5.209250128221208,258.8280383398895,94.7907498717788
Low,A-Gradient45-90,33,19.503155655069506,7.142652555216405,253.54884434493053,92.8573474447836
Low,A-Gradient45-90,34,14.980207912727291,5.486210653182284,258.07179208727274,94.51378934681772
Low,A-Gradient45-90,35,18.872004534484148,6.911505696528188,254.17999546551587,93.08849430347182
Low,A-Gradient45-90,36,20.419028645104,7.478073277289307,252.63297135489603,92.5219267227107
Low,A-Gradient45-90,37,11.17759252931109,4.093576508984036,261.87440747068894,95.90642349101596
Low,A-Gradient45-90,38,25.517058146313413,9.34512772157443,247.5349418536866,90.65487227842556
Low,A-Gradient45-90,39,21.620412724069443,7.918056899077626,251.43158727593055,92.08194310092236
Low,A-Gradient45-90,3,18.671605406697843,6.838113402098443,254.38039459330216,93.16188659790156
Low,A-Gradient45-90,40,14.248246785379736,5.218144084416059,258.80375321462026,94.78185591558392
Low,A-Gradient45-90,41,20.15502879445074,7.381388451449078,252.89697120554928,92.61861154855092
Low,A-Gradient45-90,42,17.746326563652634,6.499247968757831,255.30567343634735,93.50075203124216
Low,A-Gradient45-90,43,28.951968509041603,10.603097032448618,244.10003149095843,89.39690296755138
Low,A-Gradient45-90,44,21.236493859975173,7.777454060023427,251.81550614002484,92.22254593997656
Low,A-Gradient45-90,45,27.1931256801131,9.958954953676624,245.8588743198869,90.04104504632338
Low,A-Gradient45-90,46,27.684132086832424,10.138776528585186,245.3678679131676,89.86122347141482
Low,A-Gradient45-90,47,21.19132292858732,7.760911082353296,251.8606770714127,92.23908891764673
Low,A-Gradient45-90,48,23.595577790535263,8.64142280244615,249.4564222094648,91.35857719755384
Low,A-Gradient45-90,49,22.66526280701859,8.300712980318249,250.38673719298143,91.69928701968176
Low,A-Gradient45-90,4,22.365773062876123,8.191030669204444,250.6862269371239,91.80896933079556
Low,A-Gradient45-90,50,22.541434407992234,8.255363230444104,250.5105655920078,91.7446367695559
Low,A-Gradient45-90,52,23.39408445102117,8.56762977418996,249.65791554897885,91.43237022581005
Low,A-Gradient45-90,53,24.088942366102977,8.822108010966033,248.96305763389705,91.17789198903397
Low,A-Gradient45-90,54,24.90044781910747,9.119306146487654,248.15155218089257,90.88069385351235
Low,A-Gradient45-90,55,24.89659968695291,9.117896842708682,248.1554003130471,90.88210315729133
Low,A-Gradient45-90,56,25.170473919048877,9.218197969269175,247.88152608095115,90.78180203073082
Low,A-Gradient45-90,57,24.06787934093594,8.814394086450909,248.98412065906408,91.18560591354908
Low,A-Gradient45-90,58,23.70670466251063,8.682120864344752,249.3452953374894,91.31787913565526
Low,A-Gradient45-90,59,24.767738639449263,9.070703982922396,248.2842613605508,90.9292960170776
Low,A-Gradient45-90,5,28.25696212894488,10.348564423239852,244.79503787105517,89.65143557676015
Low,A-Gradient45-90,60,15.06438877817071,5.517040262723111,257.9876112218293,94.48295973727689
Low,A-Gradient45-90,61,27.18058376011536,9.954361718689244,245.87141623988467,90.04563828131076
Low,A-Gradient45-90,63,22.14745679693837,8.111076570374276,250.90454320306165,91.88892342962572
Low,A-Gradient45-90,64,17.06199984399593,6.2486265780862,255.9900001560041,93.7513734219138
Low,A-Gradient45-90,65,24.895464742860057,9.117481191443408,248.15653525714,90.8825188085566
Low,A-Gradient45-90,66,18.13807213759737,6.642717188519903,254.91392786240263,93.3572828114801
Low,A-Gradient45-90,67,28.377479428172556,10.392701547021282,244.67452057182743,89.60729845297871
Low,A-Gradient45-90,68,20.54326972249575,7.523574162612158,252.50873027750427,92.47642583738784
Low,A-Gradient45-90,69,18.099530517759405,6.6286020676499,254.95246948224064,93.37139793235008
Low,A-Gradient45-90,6,28.96853648422861,10.609164732076168,244.0834635157714,89.39083526792383
Low,A-Gradient45-90,70,21.664703501198,7.934277537318167,251.387296498802,92.06572246268183
Low,A-Gradient45-90,71,16.5069371758605,6.045345639607291,256.5450628241395,93.95465436039272
Low,A-Gradient45-90,72,19.76166719848369,7.237327394959088,253.29033280151637,92.76267260504092
Low,A-Gradient45-90,73,18.28617277725345,6.696956175839566,254.76582722274657,93.30304382416044
Low,A-Gradient45-90,74,13.328613648941875,4.881346281639349,259.72338635105814,95.11865371836063
Low,A-Gradient45-90,75,15.55196995581104,5.695607413903227,257.500030044189,94.30439258609678
Low,A-Gradient45-90,77,8.647992974731155,3.167159725887799,264.40400702526887,96.8328402741122
Low,A-Gradient45-90,78,17.891438452957708,6.552392384219015,255.1605615470423,93.44760761578098
Low,A-Gradient45-90,79,32.382199906171245,11.859352762906422,240.6698000938288,88.14064723709357
